date,close,congestion
2024-01-03,2967.25,0.3419
2024-01-04,2954.35,0.3618
2024-01-05,2929.18,0.3387
2024-01-08,2887.54,0.343
2024-01-09,2893.25,0.3527
2024-01-10,2877.7,0.3611
2024-01-11,2886.65,0.3667
2024-01-12,2881.98,0.348
2024-01-15,2886.29,0.3411
2024-01-16,2893.99,0.3506
2024-01-17,2833.62,0.3662
2024-01-18,2845.78,0.3695
2024-01-19,2832.28,0.3937
2024-01-22,2756.34,0.3538
2024-01-23,2770.98,0.3739
2024-01-24,2820.77,0.3711
2024-01-25,2906.11,0.3783
2024-01-26,2910.22,0.3754
2024-01-29,2883.36,0.3844
2024-01-30,2830.53,0.3695
2024-01-31,2788.55,0.3452
2024-02-01,2770.74,0.3594
2024-02-02,2730.15,0.3454
2024-02-05,2702.19,0.3526
2024-02-06,2789.49,0.3434
2024-02-07,2829.7,0.331
2024-02-08,2865.9,0.3087
2024-02-19,2910.54,0.3421
2024-02-20,2922.73,0.3823
2024-02-21,2950.96,0.3751
2024-02-22,2988.36,0.3786
2024-02-23,3004.88,0.3658
2024-02-26,2977.02,0.3412
2024-02-27,3015.48,0.3724
2024-02-28,2957.85,0.3418
2024-02-29,3015.17,0.3694
2024-03-01,3027.02,0.3944
2024-03-04,3039.31,0.4047
2024-03-05,3047.79,0.4257
2024-03-06,3039.93,0.3984
2024-03-07,3027.4,0.3811
2024-03-08,3046.02,0.401
2024-03-11,3068.46,0.4059
2024-03-12,3055.94,0.4025
2024-03-13,3043.83,0.3901
2024-03-14,3038.23,0.3929
2024-03-15,3054.64,0.3948
2024-03-18,3084.93,0.3852
2024-03-19,3062.76,0.3838
2024-03-20,3079.69,0.3761
2024-03-21,3077.11,0.3704
2024-03-22,3048.03,0.3756
2024-03-25,3026.31,0.3762
2024-03-26,3031.48,0.3923
2024-03-27,2993.14,0.3724
2024-03-28,3010.66,0.3872
2024-03-29,3041.17,0.3753
2024-04-01,3077.38,0.3717
2024-04-02,3074.96,0.3611
2024-04-03,3069.3,0.3662
2024-04-08,3047.05,0.3717
2024-04-09,3048.54,0.3683
2024-04-10,3027.33,0.3575
2024-04-11,3034.25,0.374
2024-04-12,3019.47,0.3782
2024-04-15,3057.38,0.3446
2024-04-16,3007.07,0.3486
2024-04-17,3071.38,0.3557
2024-04-18,3074.22,0.3848
2024-04-19,3065.26,0.3896
2024-04-22,3044.6,0.3834
2024-04-23,3021.98,0.3808
2024-04-24,3044.82,0.3786
2024-04-25,3052.9,0.3678
2024-04-26,3088.64,0.3927
2024-04-29,3113.04,0.3772
2024-04-30,3104.82,0.3634
2024-05-06,3140.72,0.3705
2024-05-07,3147.74,0.3608
2024-05-08,3128.48,0.3386
2024-05-09,3154.32,0.3479
2024-05-10,3154.55,0.3487
2024-05-13,3148.02,0.3516
2024-05-14,3145.77,0.3598
2024-05-15,3119.9,0.3701
2024-05-16,3122.4,0.3868
2024-05-17,3154.03,0.3888
2024-05-20,3171.15,0.3797
2024-05-21,3157.97,0.3723
2024-05-22,3158.54,0.3799
2024-05-23,3116.39,0.3598
2024-05-24,3088.87,0.3724
2024-05-27,3124.04,0.3646
2024-05-28,3109.57,0.3748
2024-05-29,3111.02,0.3789
2024-05-30,3091.68,0.3827
2024-05-31,3086.81,0.3609
2024-06-03,3078.49,0.3653
2024-06-04,3091.2,0.3627
2024-06-05,3065.4,0.3687
2024-06-06,3048.79,0.3595
2024-06-07,3051.28,0.4013
2024-06-11,3028.05,0.4138
2024-06-12,3037.47,0.4041
2024-06-13,3028.92,0.4002
