stock_code,result
600172,"
StockCode: 600172, Final Capital: 22924.0 CNY, Winning Rate: 41.38%, 持仓：0, 最后一次购买日期为：2025-05-14 00:00:00, 买入价格：3.97"
600177,"
StockCode: 600177, Final Capital: 12889.0 CNY, Winning Rate: 33.33%, 持仓：0, 最后一次购买日期为：2025-04-02 00:00:00, 买入价格：8.19"
600178,"
StockCode: 600178, Final Capital: 17950.0 CNY, Winning Rate: 29.73%, 持仓：1, 最后一次购买日期为：2025-04-30 00:00:00, 买入价格：10.88"
600180,"
StockCode: 600180, Final Capital: 6426.0 CNY, Winning Rate: 26.47%, 持仓：0, 最后一次购买日期为：2025-05-14 00:00:00, 买入价格：4.68"
600171,"
StockCode: 600171, Final Capital: 6977.0 CNY, Winning Rate: 25.71%, 持仓：0, 最后一次购买日期为：2025-04-17 00:00:00, 买入价格：38.42"
600182,"
StockCode: 600182, Final Capital: 10494.0 CNY, Winning Rate: 25.71%, 持仓：0, 最后一次购买日期为：2025-05-12 00:00:00, 买入价格：15.51"
600187,"
StockCode: 600187, Final Capital: 13376.0 CNY, Winning Rate: 32.43%, 持仓：0, 最后一次购买日期为：2025-05-20 00:00:00, 买入价格：3.36"
600184,"
StockCode: 600184, Final Capital: 11289.0 CNY, Winning Rate: 25.71%, 持仓：0, 最后一次购买日期为：2025-04-29 00:00:00, 买入价格：13.43"
600190,"
StockCode: 600190, Final Capital: 11651.0 CNY, Winning Rate: 27.59%, 持仓：0, 最后一次购买日期为：2025-02-27 00:00:00, 买入价格：1.39"
600185,"
StockCode: 600185, Final Capital: 13290.0 CNY, Winning Rate: 29.03%, 持仓：0, 最后一次购买日期为：2025-05-07 00:00:00, 买入价格：6.9"
600191,"
StockCode: 600191, Final Capital: 14485.0 CNY, Winning Rate: 44.44%, 持仓：0, 最后一次购买日期为：2025-05-14 00:00:00, 买入价格：7.5"
600183,"
StockCode: 600183, Final Capital: 11852.0 CNY, Winning Rate: 27.27%, 持仓：1, 最后一次购买日期为：2025-04-28 00:00:00, 买入价格：23.36"
600195,"
StockCode: 600195, Final Capital: 7844.0 CNY, Winning Rate: 25.71%, 持仓：1, 最后一次购买日期为：2025-05-14 00:00:00, 买入价格：6.97"
600198,"
StockCode: 600198, Final Capital: 12991.0 CNY, Winning Rate: 31.03%, 持仓：0, 最后一次购买日期为：2025-05-08 00:00:00, 买入价格：8.39"
600192,"
StockCode: 600192, Final Capital: 7086.0 CNY, Winning Rate: 35.0%, 持仓：0, 最后一次购买日期为：2025-04-30 00:00:00, 买入价格：6.62"
600189,"
StockCode: 600189, Final Capital: 8836.0 CNY, Winning Rate: 25.0%, 持仓：1, 最后一次购买日期为：2025-05-06 00:00:00, 买入价格：6.84"
600202,"
StockCode: 600202, Final Capital: 14104.0 CNY, Winning Rate: 44.12%, 持仓：1, 最后一次购买日期为：2025-04-30 00:00:00, 买入价格：5.04"
600197,"
StockCode: 600197, Final Capital: 9493.0 CNY, Winning Rate: 36.36%, 持仓：0, 最后一次购买日期为：2025-05-08 00:00:00, 买入价格：14.92"
600188,"
StockCode: 600188, Final Capital: 128207.0 CNY, Winning Rate: 33.33%, 持仓：1, 最后一次购买日期为：2025-05-13 00:00:00, 买入价格：12.63"
600196,"
StockCode: 600196, Final Capital: 11457.0 CNY, Winning Rate: 26.67%, 持仓：0, 最后一次购买日期为：2025-05-14 00:00:00, 买入价格：23.91"
600199,"
StockCode: 600199, Final Capital: 14307.0 CNY, Winning Rate: 25.81%, 持仓：1, 最后一次购买日期为：2025-05-20 00:00:00, 买入价格：10.2"
600203,"
StockCode: 600203, Final Capital: 10052.0 CNY, Winning Rate: 28.57%, 持仓：0, 最后一次购买日期为：2025-05-06 00:00:00, 买入价格：9.6"
600207,"
StockCode: 600207, Final Capital: 13021.0 CNY, Winning Rate: 21.88%, 持仓：1, 最后一次购买日期为：2025-05-08 00:00:00, 买入价格：4.17"
600201,"
StockCode: 600201, Final Capital: 9297.0 CNY, Winning Rate: 31.25%, 持仓：1, 最后一次购买日期为：2025-05-08 00:00:00, 买入价格：7.09"
600200,"
StockCode: 600200, Final Capital: 13024.0 CNY, Winning Rate: 27.27%, 持仓：1, 最后一次购买日期为：2025-05-29 00:00:00, 买入价格：2.86"
600211,"
StockCode: 600211, Final Capital: 8874.0 CNY, Winning Rate: 27.78%, 持仓：0, 最后一次购买日期为：2025-05-21 00:00:00, 买入价格：36.61"
600210,"
StockCode: 600210, Final Capital: 25089.0 CNY, Winning Rate: 35.71%, 持仓：1, 最后一次购买日期为：2025-05-26 00:00:00, 买入价格：6.64"
600206,"
StockCode: 600206, Final Capital: 11108.0 CNY, Winning Rate: 26.47%, 持仓：0, 最后一次购买日期为：2025-04-16 00:00:00, 买入价格：18.73"
600208,"
StockCode: 600208, Final Capital: 10881.0 CNY, Winning Rate: 21.21%, 持仓：0, 最后一次购买日期为：2025-03-18 00:00:00, 买入价格：3.22"
600215,"
StockCode: 600215, Final Capital: 13422.0 CNY, Winning Rate: 43.33%, 持仓：0, 最后一次购买日期为：2025-04-17 00:00:00, 买入价格：9.74"
600227,"
StockCode: 600227, Final Capital: 11211.0 CNY, Winning Rate: 26.47%, 持仓：1, 最后一次购买日期为：2025-04-30 00:00:00, 买入价格：2.16"
600217,"
StockCode: 600217, Final Capital: 8900.0 CNY, Winning Rate: 26.67%, 持仓：0, 最后一次购买日期为：2025-02-17 00:00:00, 买入价格：5.31"
600216,"
StockCode: 600216, Final Capital: 8892.0 CNY, Winning Rate: 25.71%, 持仓：0, 最后一次购买日期为：2025-04-24 00:00:00, 买入价格：13.84"
600212,"
StockCode: 600212, Final Capital: 8965.0 CNY, Winning Rate: 33.33%, 持仓：0, 最后一次购买日期为：2025-05-08 00:00:00, 买入价格：8.08"
600222,"
StockCode: 600222, Final Capital: 19381.0 CNY, Winning Rate: 38.71%, 持仓：1, 最后一次购买日期为：2025-05-06 00:00:00, 买入价格：5.13"
600221,"
StockCode: 600221, Final Capital: 13476.0 CNY, Winning Rate: 22.58%, 持仓：0, 最后一次购买日期为：2025-05-14 00:00:00, 买入价格：1.37"
600218,"
StockCode: 600218, Final Capital: 12787.0 CNY, Winning Rate: 29.41%, 持仓：0, 最后一次购买日期为：2025-04-29 00:00:00, 买入价格：8.11"
